date,ticker,open,high,low,close,vol_btc,vol_usd,usdt_supply,google_trends,sp500
9/27/2019,BTCUSD,8060,8289,7861.02,8289,12634.65,101280261.1,3020000000,9,2961.790039
9/26/2019,BTCUSD,8438.35,8464.08,7712.45,8060,25063.02,202894604,3020000000,6,2977.620117
9/25/2019,BTCUSD,8530.01,8743.86,8222.01,8438.35,23161.99,195698352,3020000000,6,2984.870117
9/24/2019,BTCUSD,9693.74,9777.16,8159.35,8530.01,31693.09,282987748.5,3020000000,7,2966.600098
9/23/2019,BTCUSD,10026.8,10051.15,9609.37,9693.74,10409.03,102332904.4,3020000000,7,2991.780029
9/22/2019,BTCUSD,9973.99,10097,9848.37,10026.8,5113.54,51003517.74,3020000000,8,2992.070068
9/21/2019,BTCUSD,10168.85,10170.15,9917.34,9973.99,4829.81,48372943.24,3020000000,9,3006.790039
9/20/2019,BTCUSD,10275.01,10309.84,10056.3,10168.85,6147.42,62522073.7,3020000000,10,3006.72998
9/19/2019,BTCUSD,10155.26,10379.15,9585.86,10275.01,13548.83,134927397.8,3020000000,9,3005.699951
9/18/2019,BTCUSD,10185.39,10258,10074.08,10155.26,5564.14,56681450.55,3020000000,10,2997.959961
9/17/2019,BTCUSD,10262.54,10276.18,10135.44,10185.39,5710.49,58364825.36,3020000000,12,3007.389893
9/16/2019,BTCUSD,10304.46,10379.98,10068.42,10262.54,7384.74,75476404.07,3020000000,13,3009.570068
9/15/2019,BTCUSD,10360.25,10380,10263.39,10304.46,2735.17,28202179.16,3020000000,13,3000.929932
9/14/2019,BTCUSD,10365.93,10439,10223.36,10360.25,4413.03,45673649.1,3020000000,23,2979.389893
9/13/2019,BTCUSD,10423.72,10452.5,10157,10365.93,6799.62,70031660.47,3020000000,14,2978.429932
9/12/2019,BTCUSD,10160.2,10460,10040,10423.72,7569.29,77805911.82,3020000000,8,2978.709961
9/11/2019,BTCUSD,10093.01,10297.12,9851.97,10160.2,7694.14,77391519.96,3020000000,9,2976
9/10/2019,BTCUSD,10310,10389.26,9916,10093.01,7620.05,77363574.82,3020000000,12,2937.780029
9/9/2019,BTCUSD,10398.97,10541.75,10059.99,10310,9351.39,96260009.31,3020000000,11,2906.27002
9/8/2019,BTCUSD,10484.37,10595,10231.13,10398.97,4506.38,46958866.48,3020000000,16,2926.459961
9/7/2019,BTCUSD,10308.92,10580,10304.52,10484.37,4352.96,45490740.26,3020000000,9,2924.580078
9/6/2019,BTCUSD,10574.73,10939.34,10182.8,10308.92,14188.01,150243703.3,3020000000,6,2887.939941
9/5/2019,BTCUSD,10581.84,10666.43,10452.15,10574.73,7307.17,77119779.28,3020000000,7,2869.159912
9/4/2019,BTCUSD,10628.48,10833.14,10380,10581.84,11506.7,121635949.9,3020000000,7,2878.379883
9/3/2019,BTCUSD,10381.26,10790,10280,10628.48,14521.81,153499426.6,3020000000,8,2847.110107
9/2/2019,BTCUSD,9766.52,10485.48,9756.54,10381.26,11185.58,113202807,3020000000,10,2922.949951
9/1/2019,BTCUSD,9600.86,9840,9539.58,9766.52,4028.8,38944156.72,3020000000,5,2924.429932
8/31/2019,BTCUSD,9582.42,9707.48,9436.2,9600.86,3901.27,37406908.23,3020000000,5,2900.51001
8/30/2019,BTCUSD,9495,9699,9337.97,9582.42,8670.66,82694923.28,3020000000,5,2923.649902
